delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
91.0321895986166,72.83990062428498,67.26499940828816,145.43052699568761,0.4625232459639147,0.5008570217616338,0.6259496646210733,1.0828796739022923,1.3533366594722651,1.2979362508567733,2
101.85614979482027,84.83427773066832,75.35765027329771,166.28628322838637,0.45318019508438667,0.5101700277596104,0.6125348875284298,1.125755346975416,1.3516364884709264,1.2943563133074552,2
109.48449182252631,94.2673146310397,81.13350166994918,181.68929847940092,0.44655080045425855,0.5188380131355248,0.6025918573015964,1.1618790350565518,1.3494362941206317,1.289916417056386,2
114.66580645197135,102.15733267240057,84.25167671430071,192.0737213701075,0.4386423926881485,0.5318652231220806,0.5969885189604954,1.2125258114306536,1.3609913882284577,1.2744276242855483,2
119.48575629466352,108.12203845142544,85.45840954864751,198.3834438947144,0.43077389862231547,0.5450154323805757,0.6022970160659008,1.265200686772395,1.398174350841924,1.247065610209025,2
122.80247631787712,111.17515813450925,86.56178714718628,202.9961649670664,0.42642080041871655,0.5476712239984732,0.6049497355666807,1.2843445335234513,1.4186684490359307,1.2375454294678607,2
122.84489143478669,111.96333786894157,88.8022531543312,207.9141299067736,0.42711023629875056,0.5385075940684969,0.5908443619963154,1.260816408276919,1.3833533167372691,1.2636541059099653,2
118.54955724978178,110.0299904840836,91.16842331153573,212.18779135224497,0.4296591369867763,0.5185500531528081,0.5587011226908061,1.2068870611932725,1.3003357187025242,1.327136297500149,2
111.75698378123052,106.5193704692717,94.17840326656304,214.95047136717653,0.4381400174074906,0.49555309086676175,0.5199196962463423,1.1310381868312074,1.1866519276708587,1.4162270379455373,2
109.15824453285575,108.1975121095014,96.66465516043276,216.0174622785552,0.4474853752137102,0.500873915322551,0.5053213910646531,1.1193078993550203,1.1292467174448362,1.438572974874014,2
119.10541990877445,116.86994909528322,98.55498545305248,216.5164257953727,0.4551847976014333,0.5397740548596333,0.5500987718194632,1.1858349789007399,1.208517452072593,1.3351877044548979,2
136.5853563393401,129.4499076263331,100.30086259480856,217.49875655025716,0.4611560276742648,0.5951753917104408,0.6279822400169883,1.2906160951903245,1.3617565473101882,1.1945770436887333,2
152.4269282874388,143.26447593197688,101.65559333382258,218.36436561302492,0.465531970147418,0.6560799218763718,0.6980393887048525,1.4093122791730368,1.499444578390196,1.0822768412617736,2
160.8955814064631,150.7923699868157,101.99909303242917,218.19704886172585,0.46746321072869895,0.6910834531147791,0.7373866064908358,1.4783697139235676,1.5774216870272426,1.0272971427443496,2
159.52305848730424,149.39238156290833,101.81511027662523,216.68634310751762,0.4698732223567296,0.6894406884183805,0.7361934130207296,1.4672908682907542,1.5667915897148288,1.0310311887692376,2
147.98462632249885,139.2686802133526,101.25512528342895,217.79990734458607,0.4648997628967352,0.6394340654746585,0.6794522005391356,1.3754235138568816,1.4615025748895842,1.110709695479848,2
128.27055521785118,123.41359246151451,98.9775654355063,220.23447473392991,0.4494190364841075,0.5603736318331323,0.5824272306722988,1.2468845027505824,1.2959558527576853,1.2683041149500525,2
105.942744196478,108.44976760331517,97.54673189942766,220.44676672346841,0.44249563443038237,0.4919544487552231,0.48058198253991224,1.111772434520192,1.0860716923423614,1.483230435398084,2
88.63184657928132,97.21709154093438,96.83984780855036,217.0101512492112,0.446245704411039,0.4479840734698707,0.40842258331730225,1.0038955423921134,0.9152414897894509,1.688737112152607,2
81.13620315602671,93.0334701352901,96.26555970018096,210.86619477588263,0.4565243841123799,0.4411967040718402,0.3847757732919762,0.9664252763401865,0.8428372868627719,1.7634054693457104,2
80.39200191239904,93.11928628390315,95.26403544219838,206.9449448000986,0.46033516563654175,0.4499713021444087,0.3884704793830786,0.9774862659518916,0.8438861689958225,1.7417251833229002,2
84.10586142024562,93.39303627894475,93.94572026512786,205.2060572528309,0.45781163345182807,0.455118321209577,0.4098605204261598,0.9941169860146544,0.8952601692007598,1.6853725932706076,2
88.06935448110679,93.2782435408517,91.91537002785196,203.4943304041553,0.4516851641286566,0.4583825178598046,0.43278529827437606,1.0148274822000583,0.9581569921811797,1.628969468877319,2
89.7590043822517,93.7577508040467,89.9097933425414,199.77984469478722,0.45004436498537026,0.4693053543378447,0.449289589344614,1.042797979157234,0.9983228861430565,1.5785459902189751,2
89.54620427356257,94.53655127925677,89.25693403153616,193.57192743020505,0.46110474393927264,0.4883794490982851,0.46259912510221635,1.0591507797686084,1.0032408713694356,1.5364223585874583,2
89.5051358474029,96.54346170524241,90.13401153494539,187.3172453515143,0.48118373386178315,0.5154008192041883,0.4778264578866728,1.071110228660044,0.9930228814092151,1.4912837857213654,2
92.4897128639309,98.16488399932531,90.96898300979291,183.43520448082018,0.4959188900912668,0.5351474613456183,0.5042091736191323,1.0791027969253846,1.0167170150069094,1.4392739121177593,2
98.0975085469659,100.02823782368588,90.53915497454742,184.40035701365733,0.49099229763335966,0.5424514325440132,0.5319811205121499,1.1048063995274318,1.0834816005798078,1.3877020883184485,2
106.35594932386084,100.22270649576656,90.09361132156698,188.88266561147836,0.47698189259402324,0.5306082809203856,0.5630794598305247,1.1124285620880072,1.1805048966707468,1.3504603165616076,2
114.59492621586554,98.92077453634354,89.3537000163086,195.97167585824786,0.4559521146358966,0.5047707741597101,0.5847524940224293,1.1070697074467961,1.2824866367587462,1.33632034960129,2
119.36830743316753,96.18045446642941,87.92993727037504,202.89809700551405,0.4333699456431344,0.4740332998974139,0.5883165450779143,1.0938305820767837,1.357538867179251,1.3492447449610376,2
117.85917198992945,91.6364350709433,85.7060234780514,207.5994638029785,0.4128431832530665,0.44140978686684146,0.567723874767727,1.0691948051283773,1.3751562283147134,1.4000555495934799,2
110.32186007163897,87.83777730266681,83.88306594749324,209.24892711011276,0.4008769225533547,0.4197764763517476,0.5272278409990817,1.047145527056069,1.315186311152422,1.4792719493319721,2
99.84518003082262,85.34901384039593,82.18979282541669,209.48746558365292,0.3923375205119206,0.4074182367074091,0.47661648754327146,1.0384381187295348,1.2148124067292467,1.5749805774791077,2
91.65716494415572,84.22178644611152,81.10756134750432,208.4132069964205,0.38916709030295443,0.40410964189787657,0.43978578068581775,1.0383962363911343,1.130069298366052,1.646136539110309,2
94.46908618006223,85.75606274966705,81.23248044708376,207.6362951661422,0.39122485971002713,0.41301094628493784,0.4549738575544891,1.0556868666041785,1.162947206094501,1.6028216779327358,2
111.08200318159541,92.14763249926975,80.86836120630299,208.35077444057498,0.38813564011670115,0.4422716102048939,0.5331489814705623,1.1394769366500732,1.3736151138046993,1.4231149639073484,2
135.46017362944409,105.61786902259928,81.42558782680867,210.8631399767396,0.3861537290765506,0.5008835068767828,0.6424080265730026,1.2971090764152335,1.6636069477025623,1.2124236806809452,2
162.91859557593997,119.754682905425,84.14252032209748,213.62676962854184,0.393876294007563,0.5605790094268459,0.7626319297868233,1.4232362240518135,1.9362219595073662,1.0534044517768932,2
187.99673084844022,130.20773583003563,87.00775615683631,216.03768742853163,0.40274341570898237,0.602708431940192,0.8702034033327275,1.4965072262676096,2.1606893356675663,0.9523607470022566,2
205.72210120160858,134.79466471263936,88.82870361100117,218.04058440931212,0.40739527391950736,0.6182090599225275,0.9435037140398647,1.517467431506514,2.3159417264773694,0.9011870155538596,2
212.95988779050592,133.72139597115847,88.87998686000053,219.21484265580025,0.4054469386434534,0.6100015598903622,0.9714665540457242,1.5045163787185294,2.396038695707168,0.8886976134760394,2
209.6151062654479,126.46773079843241,87.95228634515355,220.32057930580348,0.39920141197103687,0.5740168766663238,0.9514095638542397,1.437912941820883,2.383282060944381,0.9172526283820993,2
195.88275260053686,114.88576001667634,87.61844336001697,220.6075949184974,0.397168752927057,0.5207697407658174,0.8879238843653817,1.3112052167443813,2.235633789973542,0.9918187517863801,2
173.40655110489135,103.34253591974341,86.65813698459048,219.73582460082287,0.39437418610286074,0.47030353884023157,0.7891592161628886,1.1925312442167981,2.001041761787776,1.1071182379660018,2
146.3004778559382,93.28200921605531,84.87986292013946,216.62866317699357,0.39182193932845116,0.4306078791606653,0.675351431848173,1.0989886883278916,1.723618215472229,1.2584748150082063,2
119.76479640858328,84.99477807453326,82.08680759173134,211.54642834314072,0.38803211301956714,0.4017783648734865,0.5661395342223304,1.0354255521455416,1.4590017558515367,1.4340391001304977,2
99.710295401056,81.40220023084662,79.87616379716636,207.4425104004824,0.3850520495676599,0.3924084801793708,0.4806647162558833,1.0191050290992367,1.2483110187196205,1.5864100000123798,2
96.77341378609115,82.34829623473894,81.48081938406257,206.40143687213111,0.39476866352699475,0.39897152598678365,0.4688601748738977,1.0106463933135905,1.1876833654549597,1.6071879629929604,2
99.62770578163492,87.58539749066814,86.47724074347416,208.4160100325398,0.4149260929137476,0.42024313524183443,0.47802328509254227,1.0128144323022659,1.1520685087209277,1.575174203202482,2
107.70381654016265,100.70608148964844,91.77551991693147,212.83564213645514,0.4312037166128947,0.47316361338146,0.5060421997886547,1.097308754892375,1.1735571385228687,1.4615964257600416,2
130.75428390258375,122.49154169605006,98.76010795697412,217.26058781377844,0.4545698276469031,0.5638001025802333,0.6018315849106409,1.2402937201062476,1.3239584950590397,1.247881164570941,2
165.89873345929658,151.470884288265,108.59065937171745,221.2985827257429,0.4906974912997736,0.6844638696849861,0.7496601714114736,1.3948794966771862,1.527744047408419,1.039448087182236,2
