delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
94.37226306961006,70.27459954212317,79.4082829960574,172.61888149650906,0.46002084075410543,0.4071084167205912,0.5467088087436054,0.8849782024075787,1.1884435667031816,1.5307134341629793,1
110.54332400230913,81.30110564186263,90.85460233306732,200.42939899970685,0.45329977930632925,0.40563463268171324,0.5515324825300245,0.894848511292998,1.2167058262724455,1.518334422704065,1
125.3174949643139,91.80090224212927,98.36796003695193,218.97738825651805,0.4492151487427557,0.41922548703791446,0.5722850928220609,0.9332398700516332,1.2739665935660185,1.4616234845899672,1
139.63340360897055,103.3306496368172,103.42127769987971,229.08394988120742,0.4514557992976344,0.45106018859199787,0.6095294047504337,0.9991237000250035,1.3501419312781606,1.3685367161895245,1
151.87445959768132,119.90761398351434,107.59412211803902,232.75914881992384,0.462255179500077,0.5151574689606806,0.6524961977549606,1.1144439084875517,1.411549781790713,1.2523021347700527,1
167.57535032172194,141.78765851715448,112.23122400197464,233.64099491300453,0.48035758469425954,0.6068612170135154,0.7172343637045292,1.263353044377916,1.493125926513762,1.1180141420693175,1
194.06229262788835,168.54247211132247,117.71682360059562,235.24313540456413,0.5004049253048329,0.7164607452687967,0.8249434879115423,1.4317619772274393,1.6485518950657996,0.9734013265352767,1
224.66237609845973,194.65625113834065,124.14608427992638,235.56550523553022,0.5270130028409673,0.8263359736974798,0.9537150860599518,1.567961263276149,1.809661395295302,0.8578478659196742,1
254.2565199382983,214.03882633846322,130.07555313839876,232.85052989750963,0.5586225343599269,0.9192112486609909,1.0919301753369883,1.645496184134836,1.9546833651960147,0.7749939988116386,1
281.0696041391209,223.1969940020578,134.31057455547662,229.2602458608158,0.585843280640189,0.9735529732335758,1.2259849198179724,1.661797626439807,2.0926841022709337,0.7209892976383577,1
299.9861300843148,221.62573034764688,136.1089967634853,224.6719760250816,0.6058120784422645,0.9864413633986349,1.3352182830796193,1.6282959658630267,2.2040139683462403,0.6916655853833419,1
307.6101728472016,210.68322020603085,135.5422423432113,222.03521041155568,0.6104538198782777,0.9488730180024906,1.3854116753690893,1.5543731353695065,2.269478263966528,0.6899131988704346,1
303.84265712487587,198.67964955589275,136.22531173211087,223.62294002585162,0.6091741380216302,0.8884582661015219,1.3587275844318591,1.4584635339032974,2.2304420027489975,0.7160841359158988,1
295.93470319371295,191.61492977613014,138.99331397701815,228.46497633455493,0.6083790881517083,0.8387059270543811,1.2953175928390794,1.3785909860945738,2.1291290546726893,0.753683862037287,1
293.6323455864068,194.43203286387637,142.02225010015866,234.3858914969506,0.6059334424657825,0.829538124594867,1.2527731243167723,1.3690251543455807,2.0675094598158235,0.7712264164663928,1
305.48249429534764,207.10903248499724,145.04264091779896,240.0009717611878,0.6043418901741914,0.8629508079287297,1.2728385725009357,1.427918239591167,2.1061564541456184,0.7511704594445728,1
319.18269697881885,219.53824459534022,146.17044777635104,244.41672745625647,0.5980378237512869,0.8982128468872133,1.3058954691877354,1.5019331741478004,2.1836335718638984,0.7250269018525618,1
323.8832903855006,222.02958545798074,144.14634292916878,244.52503830304934,0.5894952268672079,0.9080034789026835,1.3245403932177264,1.5403067531659997,2.24690605258471,0.7119659535996254,1
314.233698321905,212.9896039849809,137.717359765741,239.14402831976926,0.5758762229328741,0.890633169815906,1.3139934981011958,1.5465704857200206,2.281729034425439,0.7148041189312739,1
292.8692005659886,193.58016789116783,129.38585567145734,233.3890208430518,0.554378501628258,0.8294313382519634,1.2548542322517207,1.4961462896123339,2.263533359547862,0.7457608130217158,1
263.21881032196865,168.97812803224215,123.10839255028304,227.7223483545877,0.5406074258403057,0.7420357696694986,1.155876057944516,1.3725963318319165,2.1381061426373362,0.8117381447467457,1
