delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,mean,variance,min,max,skewness,kurtosis,hjorth_activity,hjorth_mobility,hjorth_complexity,entropy,label
54.37739714921998,69.30492227186802,56.67059276189229,120.14275855665255,0.4716937869806746,0.5768547609899246,0.45260653078461377,1.2229433096466849,0.9595346457322685,0.6995078058232345,51.780078125,1002.5085354105631,-57.0,216.0,0.6688545610684548,1.733860596003403,1002.5085354105631,0.7036290831541409,1.606783048860439,2.0017576014251994,1
48.76133219353422,66.84023289471573,59.46227755087209,118.81479898203591,0.5004618789942357,0.5625581448386877,0.41039780070584175,1.124077913724908,0.8200380846801095,0.6484376305492713,52.098046875,963.3738503519693,-57.0,216.0,0.6653712963146233,1.7852554593603864,963.3738503519693,0.6896184829943459,1.6364761327719375,1.9929753716028134,1
46.57779218782133,68.81531144521193,58.79644742430674,118.83826958172295,0.49476021176724955,0.5790669258936733,0.3919426995340976,1.1703991390602853,0.7921871852510232,0.6496089592054031,51.90611979166667,943.8303792148166,-57.0,216.0,0.6722186027275991,1.767927395830979,943.8303792148166,0.6674333021109609,1.686431763620803,1.9890782611771787,1
46.17920878876395,73.38129295386732,58.230611591433245,117.13302544179449,0.49713231065109886,0.6264782513479241,0.39424584667379936,1.2601841359444523,0.7930400785204483,0.6817861659653937,51.5671875,910.7488712565104,-57.0,216.0,0.658708809341953,1.8024772395277395,910.7488712565104,0.6474391707608921,1.7340649692815895,2.046501532020043,1
48.50596629431867,78.83388816839435,59.12883975951952,113.44685253612754,0.5212029989169575,0.6948970941550753,0.42756555347246655,1.3332561316781528,0.8203436172871866,0.7378782768813205,51.624348958333336,883.662922753228,-57.0,216.0,0.6520153526157239,1.8056950524497575,883.662922753228,0.6254430283781481,1.7942770820011613,2.040177452623143,1
48.71308370544072,77.99014141080265,53.11736580626635,109.01227828793986,0.4872603952553368,0.7154252955323361,0.4468586884935318,1.4682607133654586,0.9170839510963466,0.781493266232188,51.66953125,869.9155299886066,-57.0,216.0,0.6564240792760672,1.7917288060622507,869.9155299886066,0.6082438771106431,1.8422079275836174,2.03824251688982,1
50.09321363271279,80.4602910019051,53.78681393029935,109.84330594280992,0.48966856440303735,0.7325006317981442,0.45604247981022983,1.4959110815928058,0.9313288884823521,0.7978574160787673,51.266796875,860.0815538024904,-57.0,216.0,0.6456543124245396,1.6879545346135059,860.0815538024904,0.5842410255179091,1.9105975463229363,2.11215704228494,1
56.60809265397562,73.82453919595275,50.24629174975602,108.77040541932,0.4619481885357686,0.6787189852915626,0.520436532673995,1.4692534836923805,1.1266123465569076,0.8202448810218002,51.385807291666666,808.2041475253635,-49.0,208.0,0.6529390378567201,1.6298594184661512,808.2041475253635,0.5607923708045188,1.9801718602759106,2.136131784849108,1
55.89724371873842,75.8658018077263,49.60420261488284,107.90031487703763,0.45972250100855966,0.7031101057877578,0.5180452326060262,1.5294228675891295,1.1268650794109827,0.8365667704307199,51.823828125,785.4112811787923,-49.0,204.0,0.6151336492314876,1.4134389531252678,785.4112811787923,0.5266420354470818,2.0986400679106243,2.1407378819331515,1
54.628119370208545,82.3764213575732,51.29325040400628,106.21281567412466,0.4829290145304211,0.7755789245839715,0.5143270049239165,1.605989495864336,1.065015746515097,0.869836598292161,51.901953125,751.8040586853026,-49.0,204.0,0.6351531197448711,1.3673669803337578,751.8040586853026,0.49707564944394167,2.2155484568524937,2.130707651428878,1
54.06776723771969,83.60454936693331,51.78935057002953,106.28411101608637,0.4872727454265584,0.7866138086649617,0.5087097847535875,1.614319323311137,1.043993922353,0.8709388357997799,51.744921875,721.1384507751466,-49.0,204.0,0.6366924504994881,1.2419236437048173,721.1384507751466,0.45809335469431184,2.3781023018851206,2.121511769063271,1
56.64722385132792,85.65134893007136,55.21877368277825,101.95725230654628,0.5415875029346281,0.8400711768158549,0.5555977879926726,1.5511273289429188,1.0258689223479656,0.9053452769639581,51.899479166666666,703.395364312066,-49.0,204.0,0.6837178747386643,1.2551359937484818,703.395364312066,0.42247220144708,2.5528012841011165,2.1112589515872133,1
54.076224283646454,81.13201909192749,54.220329956006125,102.08530785901837,0.531127652873275,0.7947472637685753,0.5297160327745368,1.496339457132726,0.9973422206674766,0.8650247378509937,51.75234375,695.6756455485026,-49.0,204.0,0.7408441949161507,1.402772738116373,695.6756455485026,0.4094405466652844,2.627312939772409,2.1954835502913563,1
52.96321893281987,76.90464900126291,53.116674499170976,99.05466954433443,0.5362359467101878,0.7763859024015247,0.5346867459803583,1.4478438216696567,0.9971109718784541,0.8534318254884696,51.596484375,683.6792324320475,-49.0,204.0,0.8342375766736148,1.5905961322751763,683.6792324320475,0.37773633202433665,2.811793161858108,2.184320780442252,1
50.32102802382232,74.49186786518517,51.825348139263895,97.8600814537056,0.5295861945892695,0.7612079078477452,0.5142140418882397,1.4373635786297532,0.9709732752513461,0.8338346372683274,51.79713541666667,663.4494709608291,-49.0,166.0,0.8243426611248444,1.4024713786115797,663.4494709608291,0.34150536340942395,3.060548755985152,2.2625179136085625,1
49.364762809087054,75.85918706913385,55.81716092647046,99.99319560307615,0.5582095920610154,0.758643491805758,0.4936812201206261,1.3590656674398995,0.884401176801462,0.8036946494918935,51.76770833333333,658.9616655815972,-49.0,162.0,0.9371756783015001,1.5161062523839588,658.9616655815972,0.3082729835540175,3.3316963735338496,2.3166584110710797,1
